donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
San Juan,Full-Time,Staff (planta permanente),170000,150000,,,0,0,0,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),230000,189500,,,2,6,2,2,29,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),270000,250000,Cobro todo el salario en dólares,315,10,2,2,0,35,Senior
Chubut,Full-Time,Staff (planta permanente),523000,430000,,,15,1,0,0,43,Senior
Corrientes,Full-Time,Staff (planta permanente),120000,90000,,,0,0,0,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),360000,300000,,,4,0,0,2,29,Semi-Senior
Corrientes,Full-Time,Remoto (empresa de otro país),394065,,Cobro todo el salario en dólares,315,1,1,1,0,26,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),153000,126000,,,2.5,0.5,0.5,0,23,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),590000,320000,,,8,4,2,0,35,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,260000,,,3,1.5,1.5,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),625000,,Mi sueldo está dolarizado (pero cobro en moneda local),169,12,0,0,0,33,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,370000,,,12,2,2,0,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),874000,655000,,0,18,10,10,0,49,Senior
Buenos Aires,Full-Time,Staff (planta permanente),250000,203000,,,1,1,1,0,26,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),400000,320000,,,5,2,2,0,43,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),372000,312000,Cobro parte del salario en dólares,,10,5,5,0,33,Senior
Chaco,Part-Time,Staff (planta permanente),73674,62650,,,0,0,0,0,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),315000,274000,,,21,1,1,0,41,Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),1500000,1400000,Cobro todo el salario en dólares,318,7,0,0,0,29,Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),820000,700000,Cobro todo el salario en dólares,,4,0,0,0,33,Semi-Senior
Buenos Aires,Part-Time,Tercerizado (trabajo a través de consultora o agencia),160000,155000,,,0,0,0,0,21,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),472144,282.66,,,3,1,1,0,31,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),150000,148000,,,3,2,2,0,25,Semi-Senior
Misiones,Full-Time,Staff (planta permanente),190000,180000,,,16,15,10,3,42,Senior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),176000,149000,,,12,1,1,0,31,Senior
Córdoba,Part-Time,Tercerizado (trabajo a través de consultora o agencia),82000,65000,,,1,0,0,0,37,Junior
